id;domain_list
503;Strategy Games
248490;Strategy Games
15363;Thematic Games
15363;Wargames
2346;Abstract Games
283393;Strategy Games
141572;Family Games
141572;Strategy Games
192836;Strategy Games
159508;Strategy Games
4390;Family Games
172308;Family Games
172308;Strategy Games
42215;Family Games
264055;Family Games
338834;Family Games
216734;Family Games
39351;Strategy Games
155703;Strategy Games
130960;Wargames
318182;Strategy Games
280794;Thematic Games
9625;Strategy Games
193949;Thematic Games
39938;Strategy Games
270673;Family Games
269511;Strategy Games
205359;Customizable Games
3685;Wargames
160010;Thematic Games
140603;Strategy Games
131357;Party Games
6472;Strategy Games
6472;Wargames
356033;Family Games
356033;Strategy Games
170624;Strategy Games
350316;Strategy Games
135219;Thematic Games
135219;Wargames
266830;Strategy Games
218603;Abstract Games
218603;Family Games
212445;Thematic Games
345972;Family Games
42776;Thematic Games
266121;Thematic Games
340466;Thematic Games
143519;Strategy Games
113924;Thematic Games
30869;Family Games
169255;Customizable Games
316412;Strategy Games
111799;Wargames
183562;Customizable Games
286751;Thematic Games
5782;Family Games
328565;Family Games
328565;Strategy Games
432;Family Games
10547;Thematic Games
224710;Thematic Games
325635;Strategy Games
332686;Strategy Games
332686;Thematic Games
174785;Strategy Games
174785;Wargames
37904;Family Games
37904;Thematic Games
699;Thematic Games
190082;Strategy Games
119432;Strategy Games
46;Strategy Games
198953;Strategy Games
24508;Abstract Games
24508;Strategy Games
1353;Party Games
242705;Thematic Games
163166;Party Games
257501;Customizable Games
209778;Family Games
121408;Strategy Games
1513;Strategy Games
293296;Family Games
13004;Family Games
244115;Strategy Games
296912;Strategy Games
180511;Strategy Games
355093;Strategy Games
171499;Family Games
107529;Family Games
107529;Strategy Games
3201;Strategy Games
21763;Strategy Games
356123;Strategy Games
258036;Family Games
258036;Strategy Games
50750;Strategy Games
308119;Strategy Games
552;Strategy Games
58281;Customizable Games
100423;Thematic Games
374173;Strategy Games
271518;Family Games
73171;Thematic Games
30380;Strategy Games
318009;Strategy Games
357563;Family Games
135779;Party Games
88;Abstract Games
88;Strategy Games
70512;Strategy Games
121288;Party Games
113294;Family Games
153016;Party Games
233247;Strategy Games
300300;Thematic Games
203416;Family Games
203416;Strategy Games
203416;Thematic Games
2398;Abstract Games
2398;Family Games
126792;Strategy Games
193558;Strategy Games
150997;Thematic Games
134726;Family Games
134726;Strategy Games
350933;Family Games
350933;Strategy Games
336794;Family Games
336794;Thematic Games
132018;Strategy Games
132018;Wargames
213893;Strategy Games
306040;Strategy Games
242639;Family Games
242639;Thematic Games
2955;Strategy Games
244114;Strategy Games
307002;Family Games
307002;Strategy Games
163839;Strategy Games
123540;Family Games
87890;Strategy Games
154825;Strategy Games
20963;Thematic Games
231581;Strategy Games
69789;Strategy Games
65532;Thematic Games
284760;Family Games
304051;Family Games
283864;Family Games
173064;Strategy Games
173064;Thematic Games
29603;Wargames
146278;Abstract Games
146278;Strategy Games
165401;Strategy Games
160495;Strategy Games
283863;Strategy Games
168584;Family Games
270970;Family Games
270970;Strategy Games
155624;Strategy Games
155624;Thematic Games
218074;Thematic Games
156336;Family Games
156336;Strategy Games
7717;Family Games
7717;Strategy Games
116998;Strategy Games
